"Species","Limb_width","Limb_length","Observer","Volume"
"Species_C",4.43952435344779,8.5791868726014,"Charlie",132.803308462436
"Species_B",4.76982251051672,10.5137674183131,"Charlie",187.867944864911
"Species_E",6.55870831414912,9.50661624307525,"Charlie",321.182946650479
"Species_B",5.07050839142458,9.30491480120453,"Alice",187.890704095722
"Species_C",5.12928773516095,8.09676286546997,"Alice",167.307506130744
"Species_C",6.71506498688328,9.90994455038216,"Charlie",350.963171454112
"Species_B",5.4609162059892,8.43019106108585,"Bob",197.450539261379
"Species_C",3.73493876539347,6.66411612682373,"Charlie",73.0128682289031
"Species_C",4.31314714810647,9.23954695942447,"Bob",134.99855135431
"Species_A",4.55433802990004,11.8379932181215,"Alice",192.849488425396
"Species_D",6.22408179743946,8.84930607478322,"Bob",269.246260981731
"Species_A",5.35981382705736,11.2159286444501,"Bob",253.060597156683
"Species_B",5.40077145059405,6.76423458342167,"Bob",154.960190044491
"Species_E",5.11068271594512,9.88887606895092,"Alice",202.859175004065
"Species_B",4.44415886524593,11.0388144078869,"Alice",171.234576355507
"Species_E",6.78691313680308,10.6023067243334,"Alice",383.561340059496
"Species_D",5.49785047822924,10.2113523882979,"Charlie",242.414723479429
"Species_E",3.03338284337036,8.71858798338925,"Charlie",63.0072446643009
"Species_C",5.70135590156369,8.30059130793284,"Alice",211.911837420356
"Species_A",4.52720859227207,7.95174241879017,"Alice",128.000950681144
"Species_E",3.93217629401315,10.2352931942003,"Charlie",124.295707389748
"Species_C",4.7820250853417,8.1050507716304,"Alice",145.569141601061
"Species_D",3.97399555169276,9.01888511259866,"Charlie",111.865840320173
"Species_D",4.27110877070886,9.4878156156035,"Bob",135.936905912444
"Species_E",4.37496073215074,13.6877240104644,"Alice",205.764021763805
"Species_E",3.31330668925759,8.69610019660908,"Alice",74.9786628423274
"Species_E",5.83778704449453,10.4707731445697,"Charlie",280.262588359633
"Species_D",5.15337311783651,10.1559216991274,"Bob",211.832406773854
"Species_A",3.86186306298805,8.07628673173974,"Charlie",94.6009180358761
"Species_A",6.25381492106993,9.8573838277528,"Bob",302.790048496464
"Species_B",5.42646422147681,12.8891017168467,"Alice",298.08932265606
"Species_A",4.70492851700773,10.9030081061584,"Bob",189.5580687173
"Species_B",5.89512566104502,10.0824658439859,"Charlie",275.196416752869
"Species_B",5.87813348753304,9.15500633532075,"Bob",248.443374340107
"Species_A",5.82158108163749,5.89350555691897,"Charlie",156.872016758318
"Species_E",5.68864025410009,12.2626744268284,"Charlie",311.667860398926
"Species_C",5.55391765353759,7.07871985815036,"Alice",171.491847599168
"Species_B",4.93808828942328,11.4798950217547,"Bob",219.859633205984
"Species_B",4.69403733626008,13.818207138435,"Alice",239.130327830086
"Species_C",4.61952899898762,7.1122136780564,"Bob",119.203792507339
"Species_E",4.30529302107949,11.4035686707494,"Bob",166.01070498622
"Species_C",4.7920827219804,9.47560502119506,"Bob",170.901330355617
"Species_C",3.73460364843174,6.85571168170902,"Bob",75.0985342427776
"Species_B",7.16895596533851,6.9706646924365,"Alice",281.368774775665
"Species_E",6.20796199830499,6.79692765285081,"Bob",205.73142210921
"Species_D",3.87689141679665,8.93818695565939,"Alice",105.513150509539
"Species_E",4.59711516470092,7.0764888300082,"Bob",117.456883671232
"Species_C",4.53334464637678,11.3758335459517,"Alice",183.616026528474
"Species_A",5.77996511833632,14.2002178810513,"Charlie",372.593543024581
"Species_E",4.91663093352817,7.42593904792964,"Bob",140.986159388061
"Species_C",5.25331851399475,11.5754776949504,"Alice",250.897463327297
"Species_B",4.9714532446513,11.5380844820018,"Charlie",223.970239586243
"Species_D",4.95712954270868,10.6644051579002,"Bob",205.819753736028
"Species_D",6.36860228401446,7.98324678344598,"Charlie",254.306635740208
"Species_C",4.77422901434073,9.76109478673868,"Bob",174.74103632101
"Species_E",6.51647060442954,9.43920932965951,"Charlie",314.811348572116
"Species_D",3.45124719576978,11.125979066441,"Charlie",104.083108307079
"Species_B",5.58461374963607,9.25512248779234,"Alice",226.70355720754
"Species_B",5.12385424384461,11.9539467733712,"Bob",246.487405336789
"Species_D",5.21594156874397,9.25083828446597,"Charlie",197.668017063959
"Species_E",5.37963948275988,12.1054229311587,"Alice",275.154229674694
"Species_E",4.4976765468907,7.90164598666787,"Alice",125.540510120083
"Species_A",4.66679261633058,7.47968951048377,"Charlie",127.941210590901
"Species_B",3.98142461689291,16.4820798698848,"Bob",205.200724774477
"Species_C",3.92820877352442,9.16628482367914,"Charlie",111.089331128993
"Species_B",5.30352864140426,10.5964551830814,"Bob",234.088632279933
"Species_C",5.44820977862943,11.2731393480677,"Bob",262.810310577938
"Species_D",5.0530042267305,9.03243874858251,"Bob",181.131602571742
"Species_D",5.92226746787974,11.0337240886272,"Alice",303.940123938146
"Species_D",7.05008468562714,10.7379290547702,"Bob",419.178577149166
"Species_E",4.50896883394346,9.56923898471661,"Alice",152.799435293353
"Species_E",2.69083112435919,10.1305860670506,"Alice",57.609928579774
"Species_D",6.00573852446226,9.93186549252307,"Alice",281.354296064749
"Species_E",4.29079923741761,14.2569037980324,"Bob",206.153869071322
"Species_C",4.31199138353264,8.51732780745434,"Bob",124.37955892205
"Species_E",6.0255713696967,7.80800746585067,"Charlie",222.651984778146
"Species_B",4.71522699294899,10.0755767983422,"Charlie",175.940170461001
"Species_B",3.77928228774546,10.6209614988863,"Alice",119.1440558492
"Species_E",5.18130347974915,10.8730469578204,"Bob",229.25520578113
"Species_D",4.86110863756096,9.08326933457779,"Bob",168.578710382647
"Species_A",5.00576418589989,7.87334773205762,"Charlie",154.949467376842
"Species_E",5.38528040112633,12.526370352179,"Charlie",285.319708322641
"Species_A",4.62933996820759,9.30069922409289,"Charlie",156.546597363742
"Species_B",5.64437654851883,8.26897427469325,"Charlie",206.906188140365
"Species_A",4.77951343818125,9.52744086211781,"Bob",170.935992180822
"Species_B",5.3317819639157,9.6056482113029,"Alice",214.467416953985
"Species_E",6.09683901314935,12.2198405794273,"Alice",356.750735179134
"Species_A",5.4351814908338,10.1694745843944,"Charlie",235.94810721314
"Species_A",4.67406841446877,11.508107570369,"Alice",197.462178417852
"Species_A",6.14880761845109,9.00141596565548,"Bob",267.289884422603
"Species_D",5.99350385596212,10.4288906191632,"Bob",294.231775182886
"Species_D",5.54839695950807,9.35062817701833,"Charlie",226.081860955768
"Species_D",5.23873173511144,10.1891670563471,"Bob",219.624549405106
"Species_C",4.37209392396063,8.20927328404492,"Alice",123.246206632886
"Species_C",6.36065244853001,7.37839693334406,"Charlie",234.452694591914
"Species_A",4.39974041285287,13.9944267694959,"Alice",212.764468332302
"Species_C",7.18733299301658,11.2014176473448,"Alice",454.462867620412
"Species_C",6.53261062618519,7.49745727675011,"Charlie",251.29128493878
"Species_C",4.76429964089952,8.77766816663916,"Bob",156.483004289877
"Species_A",3.97357909969322,7.62903983080538,"Alice",94.6070474659557
